OBJECTID,FIPS,Name,State,Households,"Percent of Households that Have No Computer, Smartphone, or Tablet",Percent of Households with No Internet Access,Percent of Population whose income in the past 12 months is below poverty level,Ookla Median Download Speed (Mbps),Ookla Median Upload Speed (Mbps),Population 2019 (FCC Estimate),M-Lab Median Download Speed (Mbps),M-Lab Median Upload Speed (Mbps),Microsoft Broadband Usage Percentage,Microsoft Broadband Usage,ShapeArea,ShapeLength
1,1001,Autauga County,Alabama,21397,10.8,17.2,15.2,72.884,11.212,55869,40.80152,10.77479,28.00,0.28,2208587901,249970.1915
2,1003,Baldwin County,Alabama,80930,9.1,13.8,10.4,25.996,9.529,223230,16.93789,4.648978,30.00,0.3,5909266213,536067.2537
3,1005,Barbour County,Alabama,9345,22.8,32.6,30.7,30.183,10.045,24686,24.93791,6.325272,18.00,0.18,3257906792,320882.8479
4,1007,Bibb County,Alabama,6891,21.9,26.7,18.1,15.956,4.931,22394,13.15805,6.211988,7.00,0.07,2311990190,227919.4181
5,1009,Blount County,Alabama,20847,19,23.9,13.6,15.635,5.02,57826,8.286291,2.143121,9.00,0.09,2456904167,292630.2818
6,1011,Bullock County,Alabama,3521,22.7,30.7,28.9,10.491,1.423,10101,13.92588,6.791692,5.00,0.05,2262904558,249092.7965
7,1013,Butler County,Alabama,6506,26.7,31,22.5,22.627,5.67,19448,17.06744,5.415665,11.00,0.11,2794760969,221283.3572
8,1015,Calhoun County,Alabama,44605,14.3,21.2,17.9,44.698,10.25,113605,27.65638,5.604626,32.00,0.32,2300852426,263781.3454
9,1017,Chambers County,Alabama,13448,20.6,28.1,17.3,45.177,10.147,33254,30.89799,7.041791,34.00,0.34,2222662394,208606.0413
10,1019,Cherokee County,Alabama,10737,18.6,25,13.9,11.831,3.22,26196,6.816566,1.459874,10.00,0.1,2276002224,237079.5935
11,1021,Chilton County,Alabama,16927,19.9,27.3,19.1,13.888,1.904,44424,8.370593,1.604253,5.00,0.05,2578838446,248662.8199
12,1023,Choctaw County,Alabama,5300,23.7,32.6,23.3,7.434,1.762,12589,4.214506,0.889175,2.00,0.02,3327536437,324953.7809
13,1025,Clarke County,Alabama,9090,29.7,36.4,23.2,13.953,3.132,23622,19.00099,5.789237,5.00,0.05,4492990576,455174.0147
14,1027,Clay County,Alabama,5198,18.8,26.1,17.9,10.21,1.797,13235,20.37184,11.78389,13.00,0.13,2251227967,244308.319
15,1029,Cleburne County,Alabama,5680,18.6,32,17.3,12.177,1.884,14910,16.68074,7.376686,5.00,0.05,2103518756,264790.9458
16,1031,Coffee County,Alabama,19924,12.4,17,15.1,58.273,11.474,52340,22.76119,7.051555,39.00,0.39,2426766484,203468.7142
17,1033,Colbert County,Alabama,21880,18.8,25.2,15.5,39.811,10.253,55241,26.99183,6.883451,26.00,0.26,2394898979,262716.073
18,1035,Conecuh County,Alabama,4553,38.5,44.1,17.6,14.754,4.98,12067,9.432722,2.425148,5.00,0.05,3042810028,309795.3243
19,1037,Coosa County,Alabama,4032,19.3,27.2,13.5,38.5,8.652,10663,13.40831,3.910242,9.00,0.09,2456907512,209661.8481
20,1039,Covington County,Alabama,14852,21.4,26.3,18.6,34.703,9.149,37049,22.45458,8.594269,20.00,0.2,3710244592,288483.9933
21,1041,Crenshaw County,Alabama,4943,23.2,30.5,15.2,26.921,10.459,13772,34.12159,20.24271,10.00,0.1,2194020470,286131.1927
22,1043,Cullman County,Alabama,31034,17,22,14.9,30.788,9.769,83768,23.28029,6.45333,27.00,0.27,2861200481,295392.657
23,1045,Dale County,Alabama,18806,13.2,18.4,17.6,43.696,11.148,49172,14.12335,3.802868,27.00,0.27,2007843657,200998.0996
24,1047,Dallas County,Alabama,15910,24.6,27.1,29.1,33.672,9.053,37196,27.96789,6.19824,19.00,0.19,3615260196,375473.7303
25,1049,DeKalb County,Alabama,26040,18.3,25.1,21.1,46.964,11.431,71513,29.04636,13.8587,30.00,0.3,2973816217,274854.1898
26,1051,Elmore County,Alabama,29708,11.7,15.9,11.5,53.068,11.426,81209,32.93013,8.264473,37.00,0.37,2404342459,273321.8904
27,1053,Escambia County,Alabama,13089,30.9,37.3,22.2,21.899,7.239,36633,17.68921,5.887384,14.00,0.14,3379387383,290489.6619
28,1055,Etowah County,Alabama,38942,14.8,19.5,17.4,60.412,11.454,102268,26.71278,7.404764,32.00,0.32,2074840337,252677.6269
29,1057,Fayette County,Alabama,6802,20.7,28,19.4,18.704,3.925,16302,19.04374,3.212526,6.00,0.06,2362301172,222371.1384
30,1059,Franklin County,Alabama,11048,27,33.3,19.4,27.151,7.389,31362,27.70773,6.164603,12.00,0.12,2467990458,210530.7916
31,1061,Geneva County,Alabama,10383,19.3,28.1,22,18.918,6.412,26271,39.08599,10.45888,7.00,0.07,2051355954,212054.2325
32,1063,Greene County,Alabama,2951,37.8,48.1,38.1,10.734,2.065,8111,7.403216,3.351056,2.00,0.02,2428713180,429975.2631
33,1065,Hale County,Alabama,5650,27.6,33.8,24.2,24.554,6.152,14651,25.09667,6.067783,9.00,0.09,2411244653,299733.0198
34,1067,Henry County,Alabama,6630,15.6,22.4,13.8,16.23,4.387,17205,16.41494,2.937861,7.00,0.07,2031500363,199590.2109
35,1069,Houston County,Alabama,39311,17,22.3,18.2,44.238,10.752,105882,20.76709,5.680099,39.00,0.39,2063524546,246322.9165
36,1071,Jackson County,Alabama,20695,19.5,25.2,18.6,39.681,14.932,51626,22.70861,12.05809,27.00,0.27,4336075540,321761.3541
37,1073,Jefferson County,Alabama,261231,12.1,16.9,16,77.234,11.505,658573,30.29947,9.167439,38.00,0.38,4203176596,349862.0106
38,1075,Lamar County,Alabama,5856,23.6,33.6,20.6,14.445,2.413,13805,15.84786,3.503942,5.00,0.05,2275683857,206364.6873
39,1077,Lauderdale County,Alabama,38471,16.2,22.3,14.6,29.505,10.009,92729,31.22985,7.980928,23.00,0.23,2777329128,282882.8327
40,1079,Lawrence County,Alabama,12677,23.4,30.7,18,23.102,8.684,32924,18.64949,3.406594,11.00,0.11,2743021919,238127.7998
41,1081,Lee County,Alabama,60237,8.4,13.3,19.6,62.717,10.906,164542,29.44043,5.769401,40.00,0.4,2253830311,241954.2734
42,1083,Limestone County,Alabama,32143,12,15,13.6,74.744,14.6,98902,28.48482,12.48209,43.00,0.43,2338327159,207527.3346
43,1085,Lowndes County,Alabama,4251,31.5,40.5,26.8,12.488,4.841,9726,10.95992,4.53145,5.00,0.05,2627716454,283872.0066
44,1087,Macon County,Alabama,7474,23,32.5,24.4,24.794,7.925,17326,31.03017,5.8856,11.00,0.11,2233558454,249787.0786
45,1089,Madison County,Alabama,148189,7.4,10.6,12.5,93.885,27.637,372890,53.71253,13.08808,63.00,0.63,3126309051,296070.7466
46,1091,Marengo County,Alabama,7361,28,34.1,21.9,10.133,3.689,18863,7.507059,2.467193,6.00,0.06,3568505150,316844.2923
47,1093,Marion County,Alabama,11997,21.5,29.2,17.5,64.6,72.037,29709,33.91339,46.00201,23.00,0.23,2818112637,229609.4129
48,1095,Marshall County,Alabama,34883,14.3,17.9,20.3,59.16,11.089,96772,40.0994,9.515637,40.00,0.4,2374683773,273836.3932
49,1097,Mobile County,Alabama,156251,15,21.5,18.8,50.796,12.713,413210,27.21474,8.107835,28.00,0.28,4477922413,405280.1456
50,1099,Monroe County,Alabama,8166,47.6,51.8,27.9,24.479,5.424,20733,15.91633,5.052094,13.00,0.13,3702031799,338515.2246
51,1101,Montgomery County,Alabama,89527,12.4,16.9,19.4,67.091,11.283,226485,37.9823,9.677406,47.00,0.47,2903090615,314570.8529
52,1103,Morgan County,Alabama,45918,14.6,20.1,14.6,50.35,11.062,119676,41.16165,9.619868,40.00,0.4,2287416947,219739.803
53,1105,Perry County,Alabama,3070,40.3,43.5,30.8,9.025,1.052,8923,16.03332,9.812967,7.00,0.07,2651390368,263849.8207
54,1107,Pickens County,Alabama,7637,23.6,31.3,22.7,12.512,2.607,19930,20.02308,5.053685,5.00,0.05,3307614759,273490.9382
55,1109,Pike County,Alabama,11601,25,30,24.4,35.142,22.249,33114,40.24202,34.25606,18.00,0.18,2420437487,268538.6595
56,1111,Randolph County,Alabama,8702,17.7,26.2,16.9,11.237,1.702,22722,10.85054,2.009541,8.00,0.08,2171211714,193440.0739
57,1113,Russell County,Alabama,23262,14.2,23.4,20.7,43.028,2.229,57961,19.83598,5.525214,29.00,0.29,2352315369,253463.903
58,1115,St. Clair County,Alabama,32036,12.2,17.4,12.2,40.69,8.588,89511,10.79203,1.495187,24.00,0.24,2452097133,299839.0059
59,1117,Shelby County,Alabama,79630,5.7,9.3,7.5,85.898,11.232,217698,35.91997,9.221841,46.00,0.46,3006956199,302557.4403
60,1119,Sumter County,Alabama,5202,27.3,34.6,31.8,19.289,7.373,12427,56.32044,30.01232,8.00,0.08,3341843980,370364.7088
61,1121,Talladega County,Alabama,31395,17.1,22.9,19.1,46.795,9.415,79978,18.00919,4.732742,24.00,0.24,2831655045,328321.9498
62,1123,Tallapoosa County,Alabama,16205,15.9,22.5,18.9,60.085,10.47,40367,38.08883,8.571193,47.00,0.47,2820620529,267238.897
63,1125,Tuscaloosa County,Alabama,72461,11.9,16.1,17.7,64.485,11.681,209355,32.01787,8.531357,32.00,0.32,5022107909,349036.9036
64,1127,Walker County,Alabama,25019,17.2,24.8,18.1,36.504,9.531,63521,23.59651,5.711736,22.00,0.22,3028059181,288090.5529
65,1129,Washington County,Alabama,5990,21.6,30.9,21.1,6.26,0.92,16326,3.882,0.7795389,2.00,0.02,3882445588,315920.4251
66,1131,Wilcox County,Alabama,3854,33.7,40.6,30.1,7.663,2.494,10373,21.20067,12.52045,3.00,0.03,3276690218,319240.8832
67,1133,Winston County,Alabama,9592,20.6,29.5,17.6,18.983,7.819,23629,21.65787,27.10938,4.00,0.04,2395469781,202009.4312
68,2013,Aleutians East Borough,Alaska,890,12.7,33.6,13.8,1.871,0.947,3337,3.557595,2.434108,1.00,0.01,57988814463,5512875.928
69,2016,Aleutians West Census Area,Alaska,1187,7.2,18.2,6.8,1.436,0.824,5634,1.03882,0.4835505,2.00,0.02,33090197585,5411096.057
70,2020,Anchorage Municipality,Alaska,106567,4.1,7.5,9,67.467,15.416,288000,15.85771,6.084588,55.00,0.55,19380075767,672638.7984
71,2050,Bethel Census Area,Alaska,4489,12.6,23.4,28.3,5.682,1.873,18386,3.096083,1.351883,3.00,0.03,4.63E+11,6120351.04
72,2060,Bristol Bay Borough,Alaska,314,7.6,15.6,7.2,5.053,0.959,836,4.036467,1.048883,4.00,0.04,4947584932,395185.4005
73,2068,Denali Borough,Alaska,613,3.6,6.2,16.3,11.823,3.136,2097,17.121,7.912364,25.00,0.25,1.66E+11,2084360.417
74,2070,Dillingham Census Area,Alaska,1427,11.2,22.5,17.2,3.391,1.195,4916,47.69092,20.96123,7.00,0.07,1.94E+11,3005281.301
75,2090,Fairbanks North Star Borough,Alaska,36188,4.2,10.8,8,25.703,9.82,96849,14.81467,5.736456,35.00,0.35,1.06E+11,1883222.388
76,2100,Haines Borough,Alaska,1007,3.1,13.2,11.3,5.058,1.156,2530,4.917,0.8244935,2.00,0.02,23546460640,1575503.881
77,2105,Hoonah-Angoon Census Area,Alaska,791,16.9,33.9,10.3,6.889,2.079,2148,33.06967,4.116423,5.00,0.05,64508853782,4480798.61
78,2110,Juneau City and Borough,Alaska,12676,4.1,6.8,7.7,26.958,8.38,31974,32.68566,7.627522,45.00,0.45,26787525678,1310322.373
79,2122,Kenai Peninsula Borough,Alaska,21630,9.2,16.3,12.1,16.321,6.975,58708,9.518604,5.493522,21.00,0.21,1.74E+11,5387068.327
80,2130,Ketchikan Gateway Borough,Alaska,5397,7.4,10.9,9.6,52.596,33.442,13901,23.67198,27.53839,56.00,0.56,41844694585,2701956.567
81,2150,Kodiak Island Borough,Alaska,4261,9.5,13.2,7.8,22.027,9.631,12998,31.15306,11.43399,21.00,0.21,64115805224,5417192.866
82,2158,Kusilvak Census Area,Alaska,1724,18,33.4,39,2.608,1.573,7996,,,0.00,,2.14E+11,2830671.575
83,2164,Lake and Peninsula Borough,Alaska,421,15.9,32.1,16.5,5.701,1.482,1592,1.841895,0.3623948,2.00,0.02,2.54E+11,4979189.17
84,2170,Matanuska-Susitna Borough,Alaska,31217,5.1,10.4,10.3,22.374,8.342,108317,10.46203,3.679363,31.00,0.31,2.99E+11,2490228.345
85,2180,Nome Census Area,Alaska,2844,9.3,22.8,21.5,6.435,2.422,10004,4.641428,2.477697,3.00,0.03,3.42E+11,5865380.996
86,2185,North Slope Borough,Alaska,1979,13.8,26.2,10.1,4.699,2.85,9832,1.366808,0.7823353,8.00,0.08,1.86E+12,8421377.24
87,2188,Northwest Arctic Borough,Alaska,1795,13.5,21.6,26.1,4.001,2.183,7621,2.014883,1.041025,1.00,0.01,6.24E+11,6156004.497
88,2195,Petersburg Borough,Alaska,1187,6.2,15.6,5.7,52.381,10.182,3263,42.58419,11.91897,46.00,0.46,26269885973,1725774.661
89,2198,Prince of Wales-Hyder Census Area,Alaska,2371,14.3,30.4,17.3,8.647,1.971,6203,5.302237,1.599504,1.00,0.01,47146292467,4992258.219
90,2220,Sitka City and Borough,Alaska,3547,6.3,13,8.7,65.14,18.275,8493,34.99931,10.1937,47.00,0.47,27897608039,1802690.025
91,2230,Skagway Municipality,Alaska,375,4,12.5,6.4,10.212,1.926,1183,4.775654,0.9598077,5.00,0.05,4395316222,336093.9301
92,2240,Southeast Fairbanks Census Area,Alaska,2170,10.2,23.4,10.9,6.812,1.773,6893,5.496355,2.928602,9.00,0.09,3.34E+11,3647125.983
93,2261,Valdez-Cordova Census Area,Alaska,3177,6.3,17,7.8,25.194,9.046,9202,8.148127,2.122462,26.00,0.26,4.02E+11,7908873.339
94,2275,Wrangell City and Borough,Alaska,1027,15.2,21,7.8,63.135,8.894,2502,31.81097,8.972247,36.00,0.36,22626817467,1922739.974
95,2282,Yakutat City and Borough,Alaska,219,10.5,26.9,7.4,14.487,3.367,579,26.74067,18.05533,1.00,0.01,81581519477,2321908.757
96,2290,Yukon-Koyukuk Census Area,Alaska,1856,31.6,53,25.4,4.455,2.955,5230,4.051167,2.533583,1.00,0.01,2.23E+12,9554857.113
97,4001,Apache County,Arizona,20867,43,58.6,35.5,5.799,1.616,71886,2.941874,0.8655494,5.00,0.05,43842230972,1216736.787
98,4003,Cochise County,Arizona,50163,11.7,17.4,16.6,24.514,6.674,125922,23.8873,4.818434,32.00,0.32,22395956256,602176.9629
99,4005,Coconino County,Arizona,47447,9.1,17.9,17.6,18.054,7.128,143476,33.61349,7.316538,32.00,0.32,73717951048,1566053.578
100,4007,Gila County,Arizona,21945,16.2,28.9,21.6,24.239,5.146,54018,20.5679,4.380083,34.00,0.34,18033449150,1032960.873
101,4009,Graham County,Arizona,11017,11.7,21.6,22.6,42.483,6.879,38837,37.06684,6.829329,39.00,0.39,17108283351,667618.3048
102,4011,Greenlee County,Arizona,3132,7.9,16.3,13.3,33.322,5.65,9498,24.64844,5.150313,22.00,0.22,6855032991,439803.2307
103,4012,La Paz County,Arizona,9346,20.1,33.1,22.4,8.823,5.133,21108,38.11246,4.958983,19.00,0.19,16933979632,706949.4068
104,4013,Maricopa County,Arizona,1552096,6.7,10.7,13.8,73.475,10.693,4485354,39.98494,8.648714,65.00,0.65,34334991674,979808.6778
105,4015,Mohave County,Arizona,86889,12.2,17.1,16.4,40.431,15.423,212178,18.91036,6.716395,40.00,0.4,52998196416,1333669.215
106,4017,Navajo County,Arizona,34990,22.9,34.4,27.9,17.853,4.3,110924,8.428659,1.839621,27.00,0.27,38921761975,1146813.26
107,4019,Pima County,Arizona,404739,7.8,11.6,16.8,58.056,9.561,1047273,37.91484,5.695956,44.00,0.44,33263629803,863204.0861
108,4021,Pinal County,Arizona,141300,8.9,12.3,13.2,42.697,9.727,462736,35.50573,7.500335,29.00,0.29,19803328019,716097.7407
109,4023,Santa Cruz County,Arizona,15853,16.7,23,23.3,12.311,4.262,46498,17.59204,3.928539,11.00,0.11,4423476989,297944.5782
110,4025,Yavapai County,Arizona,98386,9.1,14.4,13,31.381,5.414,235099,41.55969,5.500418,46.00,0.46,31144419040,899315.7698
111,4027,Yuma County,Arizona,73098,14.2,18.6,19.4,43.823,10.134,213787,43.46189,8.865961,37.00,0.37,20272704903,668147.5493
112,5001,Arkansas County,Arkansas,7491,18.1,27.9,17.3,12.59,1.557,17486,7.147634,2.095436,4.00,0.04,3932127131,379257.8545
113,5003,Ashley County,Arkansas,7757,22.6,34.2,16.7,14.608,2.479,19657,10.57565,2.493562,3.00,0.03,3487804230,284102.7895
114,5005,Baxter County,Arkansas,18435,13.1,18.7,13.1,40.297,17.349,41932,16.3289,5.956868,39.00,0.39,2343674791,266445.5332
115,5007,Benton County,Arkansas,97249,7.1,14.6,9.4,66.93,11.793,279126,48.17957,10.40747,45.00,0.45,3536731993,321463.3279
116,5009,Boone County,Arkansas,15034,12.9,16.6,14.7,30.096,9.804,37432,16.32207,3.270099,24.00,0.24,2405890840,210944.5669
117,5011,Bradley County,Arkansas,4419,18.4,27.5,20.5,11.613,2.737,10763,11.07408,5.003905,7.00,0.07,2436446248,300747.8782
118,5013,Calhoun County,Arkansas,1850,23.4,31.1,13.4,29.18,18.236,5189,22.39197,20.44473,12.00,0.12,2364826978,312258.7126
119,5015,Carroll County,Arkansas,11139,14.9,25,14.8,16.368,3.629,28377,17.70908,3.639525,21.00,0.21,2554664275,263497.9947
120,5017,Chicot County,Arkansas,4068,25.9,34.8,28.9,13.004,3.449,10118,16.87786,3.033841,2.00,0.02,2566113966,336326.6809
121,5019,Clark County,Arkansas,8446,17.7,25.4,20.3,59.884,26.874,22319,49.99939,24.44614,22.00,0.22,3339210207,371332.5654
122,5021,Clay County,Arkansas,6444,22.1,27.5,21.1,21.887,3.195,14551,26.15807,4.154243,8.00,0.08,2567394971,285999.5661
123,5023,Cleburne County,Arkansas,10783,15.4,21.1,14,14.393,4.41,24919,18.50797,7.048678,19.00,0.19,2320204188,197178.6271
124,5025,Cleveland County,Arkansas,3217,18.5,34.7,18.4,4.941,0.798,7956,3.695761,1.292626,1.00,0.01,2256639040,233084.0244
125,5027,Columbia County,Arkansas,8562,29.7,32.3,25,35.205,12.609,23457,25.41746,18.8921,16.00,0.16,2844865119,228321.9885
126,5029,Conway County,Arkansas,8309,20.1,29.9,17.6,16.642,5.74,20846,12.83774,4.721353,11.00,0.11,2206429278,254738.4815
127,5031,Craighead County,Arkansas,41375,8.9,13.2,16.6,76.33,23.835,110311,41.94242,16.51419,44.00,0.44,2814279305,250529.8113
128,5033,Crawford County,Arkansas,23958,15.6,22.4,17.2,54.835,11.777,63257,33.31761,8.92228,25.00,0.25,2373515684,271398.7847
129,5035,Crittenden County,Arkansas,19074,16.7,20.9,22.2,38.022,10.686,47955,38.40191,8.706753,22.00,0.22,2474653235,307312.318
130,5037,Cross County,Arkansas,6653,19.4,25,15.4,15.06,3.306,16419,31.10833,6.016855,11.00,0.11,2424962258,203841.8119
131,5039,Dallas County,Arkansas,2969,24.1,35.7,14.7,13.327,1.31,7009,10.4317,4.79696,4.00,0.04,2522251886,301051.3938
132,5041,Desha County,Arkansas,5204,22.2,40.8,29.1,14.878,4.282,11361,24.75065,8.100823,9.00,0.09,3084091552,440252.9005
133,5043,Drew County,Arkansas,7157,15.9,24.2,18.8,18.983,3.591,18219,17.79278,3.587724,13.00,0.13,3127248613,233828.4734
134,5045,Faulkner County,Arkansas,44575,9.1,14.1,16.7,27.883,5.166,126006,13.72922,2.598176,24.00,0.24,2578377803,268586.3343
135,5047,Franklin County,Arkansas,6723,20.7,30.4,23,9.337,1.665,17715,11.4679,3.192028,5.00,0.05,2427482740,275436.5111
136,5049,Fulton County,Arkansas,4973,18.1,27.7,20.7,27.41,6.116,12475,37.942,29.36783,11.00,0.11,2483722747,223997.1708
137,5051,Garland County,Arkansas,40209,11.1,18.3,18.6,27.037,5.476,99386,22.08218,4.13472,24.00,0.24,2812961821,241734.5509
138,5053,Grant County,Arkansas,6863,10.8,21.2,14.5,18.563,3.405,18265,9.624368,1.292462,9.00,0.09,2407458862,233199.8208
139,5055,Greene County,Arkansas,17254,13.2,18.7,16.4,47.458,16.745,45325,25.38282,7.646028,21.00,0.21,2304938168,242294.0701
140,5057,Hempstead County,Arkansas,8094,16.9,24.4,22.7,16.939,4.532,21532,17.07019,5.99758,13.00,0.13,2782941235,306042.1114
141,5059,Hot Spring County,Arkansas,12599,19.9,31.5,18,46.406,21.187,33771,32.6894,18.21951,22.00,0.22,2368387269,266914.9919
142,5061,Howard County,Arkansas,5142,19.6,27.9,19.4,8.833,2.005,13202,25.02104,13.81389,2.00,0.02,2253710663,300554.2801
143,5063,Independence County,Arkansas,14322,16.1,28.3,16.7,30.394,10.065,37824,28.08412,10.4046,29.00,0.29,3039971417,281127.7432
144,5065,Izard County,Arkansas,4851,14.7,24.9,15.1,20.408,4.377,13629,19.54597,8.302258,12.00,0.12,2321498699,232387.0239
145,5067,Jackson County,Arkansas,6137,23,29.7,24.4,29.423,7.242,16719,18.78224,8.584012,17.00,0.17,2518183764,296968.0954
146,5069,Jefferson County,Arkansas,26801,16.6,33.1,22.2,13.019,2.729,66824,7.925818,1.199802,9.00,0.09,3473994993,339995.1963
147,5071,Johnson County,Arkansas,9682,19.8,32.7,22.7,18.271,5.39,26578,18.98688,6.71917,14.00,0.14,2677416197,256504.3337
148,5073,Lafayette County,Arkansas,2784,25.5,34.2,25.9,10.891,1.661,6624,33.10268,2.793934,2.00,0.02,2023622831,289368.408
149,5075,Lawrence County,Arkansas,6463,19.4,25.6,15.6,45.016,23.426,16406,17.07207,17.79333,9.00,0.09,2351392297,259001.7785
150,5077,Lee County,Arkansas,3206,27.7,39,22.1,10.462,4.372,8857,20.96113,14.7432,3.00,0.03,2384056777,300247.5893
151,5079,Lincoln County,Arkansas,3773,21.5,36.4,20,9.48,1.463,13024,12.22587,7.00275,3.00,0.03,2159426765,237374.5412
152,5081,Little River County,Arkansas,5363,15.4,28.4,16.1,11.775,2.304,12259,20.10454,6.839753,4.00,0.04,2118847910,384591.3808
153,5083,Logan County,Arkansas,8417,14.2,25.4,18.7,10.726,1.645,21466,7.160253,1.612868,3.00,0.03,2846742162,320191.9252
154,5085,Lonoke County,Arkansas,26895,11.8,16.6,12.2,42.287,7.545,73309,9.372087,1.693577,32.00,0.32,3089535759,301488.5242
155,5087,Madison County,Arkansas,6279,20.3,28.4,17.4,14.711,5.463,16576,10.96347,9.749429,7.00,0.07,3320333784,266787.2994
156,5089,Marion County,Arkansas,6782,13.6,20.6,18.2,13.673,4.264,16694,8.782632,2.268184,15.00,0.15,2556385197,264781.4803
157,5091,Miller County,Arkansas,16426,16.2,22.3,20.1,42.312,10.53,43257,34.68485,7.007939,23.00,0.23,2371136514,332861.8913
158,5093,Mississippi County,Arkansas,16389,15.8,20.9,24.3,23.459,7.177,40651,26.98481,5.268775,15.00,0.15,3625994787,363984.2777
159,5095,Monroe County,Arkansas,3333,26.6,40.2,27.1,9.243,1.976,6701,31.049,47.23862,3.00,0.03,2385115182,300981.2355
160,5097,Montgomery County,Arkansas,3754,23.4,33.7,21.3,12.009,1.55,8986,13.41083,3.431367,4.00,0.04,3062271742,227815.0852
161,5099,Nevada County,Arkansas,3397,21.5,34.4,23.1,10.232,2.67,8252,24.05915,9.900723,2.00,0.02,2326516166,247647.5474
162,5101,Newton County,Arkansas,2936,24.9,34.8,15.8,5.963,0.763,7753,5.362317,0.6272278,3.00,0.03,3257774517,244409.185
163,5103,Ouachita County,Arkansas,9658,25.2,29.6,23.2,20.402,4.808,23382,16.07713,5.534083,12.00,0.12,2768521023,350610.352
164,5105,Perry County,Arkansas,3668,22.3,30.1,17.9,17.647,1.832,10455,10.57322,2.615276,16.00,0.16,2165785550,285230.5487
165,5107,Phillips County,Arkansas,7485,24.5,32.3,34.5,29.787,7.243,17782,19.7876,4.326047,14.00,0.14,2775644037,340231.5892
166,5109,Pike County,Arkansas,4280,22.5,29.7,15.4,19.647,2.514,10718,44.31322,46.70885,5.00,0.05,2329006024,277757.7188
167,5111,Poinsett County,Arkansas,9526,16.2,22.1,21.4,27.368,7.252,23528,14.0214,3.167372,8.00,0.08,2995928916,240978.2755
168,5113,Polk County,Arkansas,8243,13.6,23.7,23.8,15.134,4.442,19964,15.57448,3.454094,7.00,0.07,3294997278,265226.7724
169,5115,Pope County,Arkansas,22579,11.8,21.5,18.8,47.865,18.114,64072,12.72896,5.240571,32.00,0.32,3249357894,264710.1549
170,5117,Prairie County,Arkansas,3776,19.1,34.9,14.8,9.211,2.468,8062,8.460716,1.407945,2.00,0.02,2603014003,329000.6492
171,5119,Pulaski County,Arkansas,158051,11.7,17.3,16.8,51.711,11.852,391911,26.99823,6.683808,40.00,0.4,3105501466,345245.2513
172,5121,Randolph County,Arkansas,7355,19,25.5,18.8,31.924,10.074,17958,14.2286,15.58527,12.00,0.12,2624061031,271966.8629
173,5123,St. Francis County,Arkansas,9388,20.2,34.8,24.9,10.121,1.778,24994,7.601511,1.306118,6.00,0.06,2486973253,245200.6079
174,5125,Saline County,Arkansas,44075,9.1,13.8,9.2,42.626,10.034,122425,21.40611,5.396396,23.00,0.23,2802256068,315131.5508
175,5127,Scott County,Arkansas,3944,24.3,37.6,19.1,9.347,1.675,10281,6.710383,0.7965864,1.00,0.01,3462904572,287501.4587
176,5129,Searcy County,Arkansas,3327,22.8,32,21.9,9.577,2.036,7881,16.96497,10.52689,1.00,0.01,2644673783,227645.5838
177,5131,Sebastian County,Arkansas,51228,13,20.1,18.5,49.129,10.958,127826,33.33482,8.496719,34.00,0.34,2120983161,265976.9548
178,5133,Sevier County,Arkansas,5885,14.8,20.9,21.3,17.1,3.269,17007,25.3761,7.538025,6.00,0.06,2196536718,305781.1662
179,5135,Sharp County,Arkansas,7447,18,29.9,22.2,18.68,4.516,17442,14.73193,3.471884,11.00,0.11,2414494900,273113.3498
180,5137,Stone County,Arkansas,4787,23.3,28.1,19.8,7.93,0.886,12506,5.317276,0.892442,4.00,0.04,2408452417,255473.8748
181,5139,Union County,Arkansas,15726,26,30.4,19.1,46.933,16.895,38682,30.93194,9.375475,23.00,0.23,3911425746,362086.4796
182,5141,Van Buren County,Arkansas,6813,19.2,29.4,18.5,9.14,1.838,16545,4.37295,2.039806,3.00,0.03,2842291661,249837.2529
183,5143,Washington County,Arkansas,87325,7.6,14,16.4,83.521,25.81,239182,45.19772,11.78397,42.00,0.42,3774554575,282025.151
184,5145,White County,Arkansas,29055,13.7,20.9,15.7,19.713,3.943,78753,13.17808,2.380896,13.00,0.13,4057022309,417364.0946
185,5147,Woodruff County,Arkansas,2932,35.1,45.1,25.2,9.657,1.917,6320,7.18438,3.25366,4.00,0.04,2308517802,320604.1479
186,5149,Yell County,Arkansas,7503,21.4,26.9,16.6,30.749,4.968,21341,11.46662,2.318127,15.00,0.15,3670891778,348517.478
187,6001,Alameda County,California,577177,5.7,8.8,9.9,87.983,11.478,1671329,44.29943,5.735451,68.00,0.68,3129948134,325081.3265
188,6003,Alpine County,California,350,7.1,10,19.7,12.448,1.941,1129,94.97533,75.48383,10.00,0.1,3156005657,275565.4118
189,6005,Amador County,California,14594,9.2,11.6,9.9,19.797,3.397,39751,13.31346,2.932401,20.00,0.2,2562527951,359598.5535
190,6007,Butte County,California,85320,7.5,11.7,19.1,75.334,6.274,219186,42.16633,5.615676,49.00,0.49,7340034986,525975.0469
191,6009,Calaveras County,California,16942,10.4,13.3,11.4,24.912,5.226,45905,22.09717,4.242467,34.00,0.34,4356213320,367005.8786
192,6011,Colusa County,California,7227,13.2,17.5,13,10.587,3.178,21547,6.610641,1.445144,14.00,0.14,4990771282,386043.028
